[[!table  data="""
Package|Packaged by pkg-emacsen-addons?|Spacemacs|Doom Emacs
highlight-parentheses|todo|+spacemacs/spacemacs-editing-visual|
hindent|todo|+lang/haskell|
hl-anything|todo|+spacemacs/spacemacs-editing-visual|
hl-todo|**DONE**|+spacemacs/spacemacs-visual|ui/hl-todo
hlint-refactor|todo|+lang/haskell|
holy-mode|todo|+distributions/spacemacs-bootstrap|
hover|todo||lang/dart
htmlize|**DONE**|+emacs/org|
hungry-delete|**DONE**|+spacemacs/spacemacs-editing|
hy-mode|todo|+lang/hy|lang/hy
hybrid-mode|todo|+distributions/spacemacs-bootstrap|
hydra-examples|todo||ui/hydra
ibuffer|todo|+emacs/ibuffer|
ibuffer-projectile|**DONE**|+emacs/ibuffer|emacs/ibuffer
ido|todo||completion/ido
ido-sort-mtime|todo||completion/ido
ido-vertical-mode|**DONE**|+spacemacs/spacemacs-completion|completion/ido
idris-mode|todo|+lang/idris|
ielm|todo|+lang/emacs-lisp|lang/emacs-lisp
ietf-docs|todo|+misc/ietf|
image-mode|todo|+spacemacs/spacemacs-defaults|
imenu|todo|+spacemacs/spacemacs-defaults|
imenu-list|**DONE**|+tools/imenu-list|
impatient-mode|todo|+lang/html|
import-js|todo|+tools/import-js|
importmagic|todo|+lang/python|
indent-guide|todo|+spacemacs/spacemacs-editing-visual|
inf-crystal|todo|+lang/crystal|lang/crystal
info|todo|+spacemacs/spacemacs-navigation|
insert-shebang|todo|+lang/shell-scripts|
intero|todo|+lang/haskell|
irfc|todo|+misc/ietf|
irony|**DONE**||lang/cc
irony-eldoc|todo||lang/cc
ivy|**DONE**|+completion/ivy|completion/ivy
ivy-bibtex|todo||tools/biblio
ivy-hydra|**DONE**|+completion/ivy|
ivy-pass|todo|+tools/pass|
ivy-posframe|todo||completion/ivy
ivy-prescient|todo||completion/ivy
ivy-purpose|todo|+spacemacs/spacemacs-purpose|
ivy-rich|todo|+completion/ivy|completion/ivy
ivy-rtags|**DONE**|+lang/c-c++|
ivy-spacemacs-help|todo|+completion/ivy|
ivy-taskrunner|todo||tools/taskrunner
ivy-xref|todo|+completion/ivy|tools/lookup
ivy-yasnippet|todo|+completion/auto-completion|
jabber|**DONE**|+chat/jabber|
japanese-holidays|todo|+intl/japanese|
java-mode|todo|+lang/java|
jinja2-mode|**DONE**|+tools/ansible|tools/ansible
jr-mode|todo|+lang/jr|
js-doc|todo|+lang/javascript|
js2-mode|todo|+lang/javascript|lang/javascript
js2-refactor|todo|+lang/javascript|lang/javascript
json-mode|todo|+lang/json|lang/json
json-navigator|todo|+lang/json|
json-reformat|todo|+lang/json|
json-snatcher|todo|+lang/json|
jsonnet-mode|todo|+lang/jsonnet|
julia-mode|todo|+lang/julia|lang/julia
julia-repl|todo|+lang/julia|lang/julia
kivy-mode|todo|+lang/kivy|
kotlin-mode|todo|+lang/kotlin|
kubernetes|todo|+tools/kubernetes|
kubernetes-evil|todo|+tools/kubernetes|
kubernetes-tramp|todo|+tools/kubernetes|
langtool|todo||checkers/grammar
launchctl|todo|+os/osx|
ledger-mode|todo|+tools/finance|lang/ledger
less-css-mode|todo|+lang/html|
link-hint|todo|+spacemacs/spacemacs-editing|
linum|todo|+spacemacs/spacemacs-defaults|
linum-relative|**DONE**|+spacemacs/spacemacs-evil|
lispy|todo||editor/lispy
lispyville|todo||editor/lispy
live-py-mode|todo|+lang/python|
livid-mode|todo|+lang/javascript|
logcat|todo|+lang/major-modes|
lorem-ipsum|todo|+spacemacs/spacemacs-editing|
lsp-dart|todo|+lang/dart|
lsp-haskell|**DONE**|+lang/haskell|
lsp-ivy|todo|+tools/lsp|
lsp-java|todo|+lang/java|
lsp-julia|todo|+lang/julia|lang/julia
lsp-mode|**DONE**|+tools/lsp|
lsp-python-ms|todo|+lang/python|lang/python
lsp-sourcekit|todo||lang/swift
lsp-treemacs|todo|+tools/lsp|
lsp-ui|**DONE**|+tools/lsp|
lua-mode|**DONE**|+lang/lua|lang/lua
lui|todo||app/irc
lui-autopaste|todo||app/irc
lui-logging|todo||app/irc
macrostep|todo|+lang/emacs-lisp|
magic-latex-buffer|todo|+lang/latex|
magit|**DONE**|+source-control/git|tools/magit
magit-gitflow|todo|+source-control/git|tools/magit
magit-section|todo|+source-control/git|
magit-svn|todo|+source-control/git|
magit-todos|**DONE**||tools/magit
markdown-mode|**DONE**|+lang/markdown|lang/markdown
markdown-toc|**DONE**|+lang/markdown|
matlab-mode|todo|+lang/major-modes|
maven-test-mode|todo|+lang/java|
meghanada|todo|+lang/java|
merlin|todo|+lang/ocaml|lang/ocaml
merlin-eldoc|todo||lang/ocaml
merlin-iedit|todo||lang/ocaml
merlin-imenu|todo||lang/ocaml
metal-mercury-mode|todo|+lang/mercury|
migemo|todo|+intl/japanese|input/japanese
minimap|**DONE**||ui/minimap
minitest|todo|+lang/ruby|lang/ruby
mixed-pitch|todo||ui/zen
mmm-mode|todo|+lang/markdown|
modern-cpp-font-lock|todo||lang/cc
moonscript|todo||lang/lua
move-text|**DONE**|+spacemacs/spacemacs-editing|
mu4e|todo|+email/mu4e|email/mu4e
mu4e-alert|todo|+email/mu4e|
mu4e-maildirs-extension|todo|+email/mu4e|
multi-term|todo|+tools/shell|
multiple-cursors|todo|+misc/multiple-cursors|
mvn|todo|+lang/java|
mwim|todo|+emacs/better-defaults|
nameless|todo|+lang/emacs-lisp|
nasm-mode|todo|+lang/asm|
nav-flash|todo||ui/nav-flash
neotree|**DONE**|+filetree/neotree|ui/neotree
nginx-mode|todo|+tools/nginx|
nim-mode|todo|+lang/nim|
nix-drv-mode|todo||lang/nix
nix-mode|todo|+os/nixos|lang/nix
nix-repl|todo||lang/nix
nix-update|todo||lang/nix
nixos-options|todo|+os/nixos|
nlinum|todo|+misc/nlinum|
nlinum-relative|todo|+misc/nlinum|
nodejs-repl|todo|+lang/javascript|
nose|**DONE**|+lang/python|lang/python
notmuch|todo|+email/notmuch|email/notmuch
nov|**DONE**|+readers/epub|
npm-mode|todo||lang/javascript
nxml-mode|todo||lang/data
nyan-mode|todo|+themes/colors|
ob|todo|+emacs/org|
ob-cfengine3|todo|+tools/cfengine|
ob-coffeescript|todo|+lang/coffeescript|
ob-crystal|todo|+lang/crystal|
ob-elixir|todo|+lang/elixir|
ob-http|todo|+tools/restclient|
ob-hy|todo|+lang/hy|
ob-restclient|todo|+tools/restclient|
ob-sml|todo|+lang/sml|
objed|todo||editor/objed
ocamlformat|todo||lang/ocaml
ocp-indent|todo|+lang/ocaml|lang/ocaml
octave|todo|+lang/octave|
omnisharp|todo|+lang/csharp|lang/csharp
open-junk-file|todo|+spacemacs/spacemacs-navigation|
opencl-mode|todo|+lang/gpu|
org|**DONE**|+emacs/org|lang/org
org-agenda|todo|+emacs/org|
org-attach|todo||lang/org
org-brain|todo|+emacs/org|
org-bullets|**DONE**|+spacemacs/spacemacs-org|
org-cliplink|todo|+emacs/org|
org-clock|todo||lang/org
org-crypt|todo||lang/org
org-download|todo|+emacs/org|
org-expiry|todo|+emacs/org|
org-gcal|todo||app/calendar
org-jira|todo|+emacs/org|
org-journal|todo|+emacs/org|
org-mime|todo|+emacs/org|email/notmuch
org-mu4e|todo||email/mu4e
org-pdftools|todo||lang/org
org-pomodoro|todo|+emacs/org|
org-present|todo|+emacs/org|
org-projectile|todo|+emacs/org|
org-ref|todo|+lang/bibtex|
org-sticky-header|todo|+emacs/org|
org-superstar|todo||lang/org
org-trello|todo|+emacs/org|
orgit|todo|+source-control/git|
origami|todo|+spacemacs/spacemacs-editing|
osx-clipboard|todo|+os/osx|
osx-dictionary|todo|+os/osx|
osx-location|todo|+tools/geolocation|
osx-trash|todo|+os/osx|
overseer|todo|+lang/emacs-lisp|
ox-hugo|todo|+emacs/org|lang/org
ox-jira|todo|+emacs/org|
ox-pandoc|todo|+tools/pandoc|lang/org
p4|todo|+source-control/perforce|
pacmacs|todo|+fun/games|
pact-mode|todo|+lang/pact|
pandoc-mode|todo|+tools/pandoc|
pangu-spacing|todo|+intl/japanese|input/japanese
paradox|todo|+spacemacs/spacemacs-navigation|
parinfer|todo|+misc/parinfer|editor/parinfer
password-generator|todo|+spacemacs/spacemacs-editing|
password-store|todo|+tools/pass|
pcre2el|**DONE**|+distributions/spacemacs-bootstrap|
pdf-tools|**DONE**|+readers/pdf|
pdf-view|todo||tools/pdf
perl6-mode|todo|+lang/perl6|
persistent-soft|todo|+fonts/unicode-fonts|
persp-mode|todo|+spacemacs/spacemacs-layouts|ui/workspaces
php-auto-yasnippets|todo|+lang/php|
php-extras|todo|+lang/php|lang/php
php-mode|**DONE**|+lang/php|lang/php
php-refactor-mode|todo||lang/php
phpactor|todo|+lang/php|lang/php
phpcbf|todo|+lang/php|
phpunit|todo|+lang/php|
pianobar|todo|+music/pianobar|
pip-requirements|**DONE**|+lang/python|
pipenv|todo|+lang/python|lang/python
pippel|todo|+lang/python|
pkgbuild-mode|todo|+lang/major-modes|
plantuml-mode|todo|+lang/plantuml|lang/plantuml
play-crystal|todo|+lang/crystal|
poetry|todo||lang/python
pony-mode|todo|+frameworks/django|
popwin|todo|+spacemacs/spacemacs-visual|
posframe|todo|+tools/dap|
powershell|todo|+lang/windows-scripts|
prettier-js|todo|+tools/prettier|
preview|todo||lang/latex
prodigy|todo|+tools/prodigy|
projectile|**DONE**|+spacemacs/spacemacs-project|
projectile-rails|todo|+frameworks/ruby-on-rails|lang/ruby
prolog|todo|+lang/prolog|
proof-site|todo|+lang/coq|
protobuf-mode|todo|+lang/protobuf|
psc-ide|todo|+lang/purescript|lang/purescript
psci|todo|+lang/purescript|
pug-mode|todo|+lang/html|
puppet-mode|**DONE**|+tools/puppet|
purescript-mode|todo|+lang/purescript|
py-isort|**DONE**|+lang/python|lang/python
